corpus	max topics			topics probabilities	
meet_32   [2, 3, 6, 9, 4]		[0.7099439, 0.2895851, 5.8874757e-05, 5.887389e-05, 5.8873098e-05]
meet_33   [4, 9, 3, 2, 6]		[0.4355888, 0.35585958, 0.1452415, 0.06259146, 0.000119795564]
meet_34   [3, 6, 4, 9, 2]		[0.44138882, 0.30223253, 0.23956193, 0.0141768195, 0.0023288813]
meet_35   [6, 2, 3, 4, 9]		[0.48638913, 0.38577896, 0.07039169, 0.057044625, 6.594174e-05]
meet_36   [9, 2, 6, 8, 4]		[0.37035054, 0.25230926, 0.23768915, 0.07187955, 0.062447716]
meet_37   [9, 3, 6, 1, 4]		[0.60519534, 0.20343757, 0.12968852, 0.05376354, 0.0071796463]
meet_38   [3, 6, 9, 2, 0]		[0.6948873, 0.15524136, 0.14937682, 0.00021066223, 4.7315203e-05]
meet_39   [3, 6, 9, 2, 8]		[0.511478, 0.23755999, 0.13202462, 0.11856856, 6.1476334e-05]
meet_40   [2, 8, 3, 6, 9]		[0.37320405, 0.2572985, 0.2401145, 0.086145364, 0.042950008]
meet_41   [6, 9, 4, 3, 8]		[0.47781068, 0.3558577, 0.09477599, 0.039526694, 0.028809791]
meet_42   [6, 3, 8, 9, 0]		[0.6430927, 0.35656855, 4.2349693e-05, 4.234838e-05, 4.2347696e-05]
meet_43   [6, 2, 9, 3, 8]		[0.92533267, 0.074371025, 3.7047863e-05, 3.7047375e-05, 3.7047157e-05]
meet_44   [8, 6, 2, 3, 9]		[0.6512666, 0.15596043, 0.15413478, 0.03842022, 3.6335714e-05]
meet_45   [6, 9, 3, 4, 2]		[0.6448575, 0.31086555, 0.022725623, 0.020836916, 0.00011908033]
meet_46   [6, 3, 9, 2, 8]		[0.5792472, 0.42038527, 4.5947894e-05, 4.594769e-05, 4.5945584e-05]
meet_47   [6, 2, 3, 9, 0]		[0.7814293, 0.18912436, 0.029132199, 4.4874985e-05, 4.487452e-05]
meet_48   [6, 2, 8, 0, 9]		[0.55011237, 0.3215605, 0.12802577, 4.305976e-05, 4.3059677e-05]
meet_49   [6, 9, 3, 1, 4]		[0.44503337, 0.24636228, 0.1310052, 0.12833892, 0.048749454]
meet_50   [3, 6, 2, 0, 8]		[0.493872, 0.40950754, 0.096347794, 3.8962626e-05, 3.895149e-05]
meet_51   [6, 2, 3, 5, 9]		[0.667363, 0.29612237, 0.036238853, 3.9400682e-05, 3.939761e-05]
meet_51b   [2, 6, 8, 0, 3]		[0.40411192, 0.30464014, 0.167261, 0.1184641, 0.00530675]
meet_52   [6, 9, 3, 4, 2]		[0.5729709, 0.31461084, 0.07079918, 0.039420966, 0.000366405]
meet_53   [6, 3, 9, 2, 8]		[0.6601873, 0.33929366, 0.00020973402, 4.4201555e-05, 4.4200668e-05]
meet_54   [6, 2, 9, 3, 0]		[0.77316785, 0.20408611, 0.022030903, 0.00046638152, 4.1470114e-05]
meet_55   [6, 2, 8, 9, 0]		[0.37938625, 0.35454598, 0.14578956, 0.119836, 7.371203e-05]
meet_56   [9, 6, 4, 3, 8]		[0.7010168, 0.26495194, 0.028955802, 0.0044842293, 9.855002e-05]
meet_57   [3, 6, 4, 9, 8]		[0.66137123, 0.3207627, 0.014458435, 0.0031339538, 4.5632434e-05]
meet_58   [6, 2, 3, 9, 0]		[0.7240897, 0.27304077, 0.0025449723, 4.6372912e-05, 4.6371908e-05]
meet_59   [2, 6, 0, 8, 9]		[0.51100594, 0.31946766, 0.11183001, 0.039836306, 0.014785353]
meet_60   [6, 9, 3, 4, 1]		[0.44315296, 0.42701238, 0.12394587, 0.005272002, 0.00010281143]
meet_61   [3, 6, 0, 9, 8]		[0.5775966, 0.24965031, 0.17031999, 0.0020456803, 6.4576874e-05]
meet_62   [6, 0, 2, 3, 9]		[0.5632084, 0.21548004, 0.20679417, 0.014240264, 4.620082e-05]
meet_63   [2, 0, 6, 8, 9]		[0.30841097, 0.25136176, 0.2433351, 0.118748486, 0.072632395]
meet_64   [9, 6, 3, 4, 0]		[0.6027494, 0.26934642, 0.06608233, 0.061186165, 0.00010596138]
meet_65   [3, 6, 0, 9, 8]		[0.6861005, 0.28366074, 0.029930038, 4.4104057e-05, 4.410377e-05]
meet_66   [6, 2, 3, 0, 9]		[0.77505255, 0.17736384, 0.04726935, 4.4895693e-05, 4.489361e-05]
meet_67   [0, 2, 6, 3, 8]		[0.4453823, 0.255403, 0.22945108, 0.069555886, 3.462361e-05]
meet_68   [4, 6, 2, 3, 9]		[0.99944943, 6.118193e-05, 6.117951e-05, 6.117895e-05, 6.1178434e-05]
meet_69   [3, 6, 8, 4, 2]		[0.57241875, 0.23360243, 0.19355448, 6.0623726e-05, 6.0621616e-05]
meet_70   [6, 8, 3, 2, 9]		[0.47981942, 0.3163221, 0.11878048, 0.08482028, 4.2967225e-05]
meet_71   [8, 3, 6, 2, 9]		[0.7566368, 0.12942113, 0.07164322, 0.041193914, 0.0008915448]
meet_72   [4, 9, 6, 3, 2]		[0.6923598, 0.30626303, 0.00017216851, 0.00017216311, 0.00017215963]
meet_73   [3, 6, 9, 0, 8]		[0.60671824, 0.3807451, 0.012153614, 5.4721542e-05, 5.4721335e-05]
